Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
ART,5.844444444444444,40.66825396825397,32.06825396825397,58.266666666666666,46.51269841269841,90.33492063492064,628.9617482276899,4.07964430210328,6589.77191377887,366.09843965438216,0.20965391607589634,70.1698035053553,4.565938329758869,266,2002,12868.068359375,689,14736,11715,0.1548888087272644,0.1236724853515625,0.11297841370105743,0.16017383337020874,0.3253873884677887,3.437347888946533,94726,130432,543,557,3761,41409,111,37131,115,0,0,0,0,0
BentoML,3.0173076923076922,13.953846153846154,9.330769230769231,17.713461538461537,16.971153846153847,27.04423076923077,151.39405837341712,1.8590584299859367,967.9782678108058,53.776570433933685,0.050464686124472406,72.57175463866034,2.46984833096059,4,39,17.0,9,210,173,0.03698204085230827,0.0317489430308342,0.031005462631583214,0.125,0.06308496743440628,2.22625470161438,5449,6773,48,70,271,1642,18,257,22,0,0,0,0,0
Bokeh,2.1790220820189274,15.152996845425868,10.57570977917981,19.60173501577287,17.332018927444796,30.17744479495268,179.59803197991042,1.3953821901788555,731.7069687496964,40.65038715276092,0.059866010659970055,79.47333500401214,2.1074403310892174,30,87,265.0952453613281,77,1563,1155,0.1342722624540329,0.12738502025604248,0.10330469161272049,0.19333334267139435,0.1474788337945938,2.6423323154449463,9067,15130,98,114,746,5437,12,2976,16,0,0,0,0,0
Camel,2.6783625730994154,11.865497076023392,7.853801169590644,15.046783625730994,14.543859649122806,22.900584795321638,113.57207781303524,1.7158497552184193,542.1066078609084,30.117033770050476,0.03785735927101173,81.56245314218097,2.7917463719622244,1,6,1.0,2,46,28,0.004939871374517679,0.0035260042641311884,0.004546802490949631,0.1666666716337204,0.005792721640318632,100.0,7941,10117,90,79,329,1775,19,4221,23,0,0,0,0,0
CatBoost,2.3255416899484698,21.76634382566586,17.887750667411684,32.6664493698392,24.09188551561433,50.55420003725089,392.08350754739246,1.6454215024112004,5245.242854047572,291.4023807804651,0.13069450251580303,83.8773051235031,2.831553232243082,0,0,__INVALID__,0.0,__INVALID__,0,__INVALID__,__INVALID__,0,0,__INVALID__,__INVALID__,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Causal ML,5.638888888888889,46.56944444444444,34.138888888888886,66.98611111111111,52.208333333333336,101.125,703.2410316082495,4.0230199022324005,6229.360033525883,346.0755574181046,0.23441367720274986,69.830088414974,3.3246713753149364,30,234,1146.0,90,1578,1224,0.126668781042099,0.08991405367851257,0.09790296852588654,0.2142857313156128,0.33503690361976624,4.752738952636719,13613,16118,56,70,434,4418,14,4229,18,0,0,0,0,0
Chainer,4.426978818283166,22.896321070234112,18.11371237458194,32.869565217391305,27.32329988851728,50.98327759197324,303.5430627341971,3.1120369895653783,2276.181111486943,126.45450619371893,0.10118102091139901,62.96135459732774,2.6438958803664123,43,234,2732.125,173,1492,1062,0.02951856702566147,0.021696938201785088,0.026117248460650444,0.15988372266292572,0.16324545443058014,2.062753677368164,48947,57127,343,282,2295,14252,41,17176,45,0,0,0,0,0
Computer Vision,5.19774011299435,30.508474576271187,21.666666666666668,41.13559322033898,35.706214689265536,62.80225988700565,391.3328862767593,3.433672289618976,3086.74445003248,171.4858027795822,0.13044429542558655,68.70540458569407,2.703454648043135,1,2,44.57143020629883,2,53,50,0.006054865196347237,0.004717871081084013,0.003993971273303032,0.1428571492433548,0.0014288410311564803,0.0376298651099205,10598,13270,50,63,486,4126,12,3066,16,0,0,0,0,0
D2L,12.222222222222221,305.3333333333333,216.11111111111111,392.0,317.55555555555554,608.1111111111111,5673.9727161763985,8.179733315626207,74963.55800058736,4164.642111143742,1.8913242387254665,39.363025197652505,2.837005985938057,7,135,240.0,19,549,529,0.06688264012336731,0.060734786093235016,0.0523655079305172,0.9285714030265808,1.507347822189331,26.830034255981445,8710,10484,195,5,956,4658,1,2267,5,0,0,0,0,0
Darts,6.291845493562231,55.802575107296136,43.99141630901288,79.80257510729614,62.09442060085837,123.79399141630901,910.182011387787,4.420633648078297,8921.88567572061,495.6603153178116,0.3033940037959289,64.38846754930785,3.246639356506217,120,619,3604.114501953125,293,8190,6575,0.10749619454145432,0.07935933023691177,0.08280254900455475,0.17011906206607819,0.16613060235977173,2.0282201766967773,82851,98910,399,228,2724,22581,35,28022,39,0,0,0,0,0
