Name,h1,h2,N1,N2,vocabulary,length,volume,difficulty,effort,time,bugs,MI,CC,CCL,CCO,CEE,CI,LDC,LLDC,CLLC,CLC,NCR,CR,CEG,TLLOC,TLOC,TNCL,TNFI,TNM,TNOS,TNPKG,TCLOC,TNDI,WarningBlocker,WarningCritical,WarningMajor,WarningMinor,WarningInfo
ART,5.426253687315635,37.78023598820059,29.793510324483776,54.13274336283186,43.206489675516224,83.92625368731564,584.4124435412066,3.7886075373526054,6123.228869246955,340.17938162483125,0.19480414784706865,72.34781873320293,4.518860495147908,281,2056,10924.2119140625,721,15465,12359,0.11876117438077927,0.10747121274471283,0.13568809628486633,0.2540925145149231,2.7318687438964844,104066,143899,591,677,4344,45583,160,39251,163,0,3344,1814,15850,0
BentoML,2.0273224043715845,9.528688524590164,6.3756830601092895,12.117486338797814,11.556010928961749,18.493169398907103,104.17915828968982,1.2490320375596367,673.5250782230642,37.41805990128136,0.034726386096563304,81.45223472330935,2.3154162043178315,64,590,712.3541870117188,167,4372,3594,0.06630261987447739,0.06663618236780167,0.1875,0.23283939063549042,3.5432631969451904,54206,65610,456,710,2491,15924,290,7413,293,0,1565,922,2645,0
Bokeh,1.6798780487804879,11.704878048780488,8.170731707317072,15.144512195121951,13.384756097560976,23.315243902439025,138.80387375452622,1.0764296446017003,565.6254177996962,31.42363432220535,0.04626795791817535,84.17496475993441,2.135700455362196,147,459,252.1875,404,8692,5623,0.05708397552371025,0.057174429297447205,0.10839812457561493,0.05262666940689087,0.9515992403030396,98504,152026,1491,1624,6243,33119,422,44318,425,0,2869,2791,11479,0
Camel,2.110599078341014,9.350230414746544,6.188940092165899,11.857142857142858,11.460829493087557,18.046082949308754,89.49689081119367,1.3521212356790309,427.1899997429278,23.732777763495996,0.029832296937064542,85.47087321342376,2.7772250173639015,10,138,941.75,29,746,524,0.03730599582195282,0.03915804997086525,0.34285715222358704,0.5882813930511475,8.569811820983887,14046,19051,98,217,682,4713,65,5795,68,0,389,158,314,0
CatBoost,1.7673254620123204,17.382161190965093,14.407392197125256,26.279517453798768,19.149486652977412,40.68690965092402,317.48236369812463,1.2761343026740632,4268.967052223637,237.1648362346525,0.10582745456604073,88.95554337688846,2.808549072794965,68,835,3082.65380859375,179,5702,4899,0.09918610006570816,0.08904505521059036,0.08559120446443558,1.7359497547149658,21.278594970703125,49392,64035,200,4352,2489,20577,4175,5824,4178,0,641,1216,8203,0
Causal ML,5.075,41.9125,30.725,60.2875,46.9875,91.0125,632.9169284474245,3.62071791200916,5606.424030173295,311.4680016762942,0.21097230948247486,72.84707957347659,3.296522419601623,30,234,802.2000122070312,90,1578,1224,0.08990084379911423,0.09631935507059097,0.15000000596046448,0.23449137806892395,3.5050511360168457,13615,16383,56,80,434,4418,22,4387,25,0,77,460,2907,0
Chainer,4.423676012461059,23.123052959501557,17.950934579439252,33.112928348909655,27.546728971962615,51.06386292834891,309.1787397968756,3.094065805863134,2421.386884653562,134.52149359186504,0.1030595799322916,67.6106728694973,2.511607589668547,115,665,7825.1513671875,333,5243,4354,0.032780714333057404,0.031767286360263824,0.18561264872550964,0.09061409533023834,1.0107084512710571,132822,165044,2162,985,10462,56471,169,22296,172,0,10102,2131,13826,0
Computer Vision,3.4328358208955225,20.149253731343283,14.309701492537313,27.167910447761194,23.582089552238806,41.47761194029851,258.4549286230836,2.267761176352831,2038.6334614020484,113.257414522336,0.08615164287436126,79.33155452114872,2.623961560105763,19,97,328.5,40,1112,936,0.04105443134903908,0.03820386901497841,0.11513157933950424,0.03690402954816818,0.6368677020072937,22799,29107,142,268,1282,10304,108,4840,111,0,457,1476,4860,0
D2L,1.5492957746478873,38.70422535211268,27.3943661971831,49.690140845070424,40.25352112676056,77.08450704225352,719.2359781068674,1.0368676033892374,9502.422845144878,527.9123802858265,0.2397453260356225,92.31362291237849,1.7014231100692259,7,135,53.33333206176758,19,549,529,0.05771328881382942,0.04941494017839432,0.2063492089509964,0.3183019459247589,7.987400054931641,9166,11110,195,71,976,4913,63,2300,66,0,199,523,2180,0
Darts,5.6953125,50.546875,39.859375,72.2734375,56.2421875,112.1328125,825.1903583013298,4.001006406258763,8103.506422989899,450.1948012772165,0.27506345276710975,67.8110737019905,3.2892858060160455,120,619,2522.880126953125,293,8190,6575,0.08020933717489243,0.08379288017749786,0.11908333748579025,0.1175369918346405,1.5003935098648071,81973,97741,373,256,2691,22490,59,27409,62,0,2270,894,12553,0
Dash,1.8926315789473684,12.829473684210527,8.223157894736842,15.471578947368421,14.722105263157895,23.694736842105264,138.43519102922542,1.1337047225220438,630.9479278220814,35.05266265678228,0.04614506367640855,78.9831255157161,3.2869656600653836,29,129,213.86668395996094,77,1849,1371,0.03899760916829109,0.0410214327275753,0.07969348877668381,0.028127964586019516,0.5242471098899841,35156,45074,110,475,2156,13319,195,3784,198,0,1304,873,3449,0
